pid,bl,tr,trial,condition,acc,drt
1,34,9,713,congruent,1,10
1,34,21,725,congruent,1,7
1,35,2,728,incongruent,0,6
1,35,7,733,congruent,1,11
1,35,12,738,incongruent,1,13
1,35,15,741,congruent,1,10
1,36,1,749,blank,1,8
1,36,2,750,blank,0,8
1,36,3,751,blank,1,11
1,36,4,752,blank,1,7
1,36,5,753,blank,1,9
1,36,6,754,blank,1,9
1,36,7,755,blank,1,8
1,36,8,756,blank,1,7
1,36,9,757,blank,1,10
1,36,10,758,blank,1,10
1,36,11,759,blank,1,11
1,36,12,760,blank,1,9
1,36,13,761,blank,1,9
1,36,14,762,blank,1,7
1,36,15,763,blank,1,10
1,36,16,764,blank,1,10
1,36,17,765,blank,0,9
1,36,18,766,blank,1,8
1,36,19,767,blank,1,8
1,36,20,768,blank,1,8
1,36,21,769,blank,1,9
1,37,2,772,incongruent,1,9
1,37,4,774,congruent,1,7
1,37,10,780,incongruent,1,13
1,37,20,790,congruent,1,9
1,38,7,799,incongruent,1,12
1,38,11,803,congruent,1,8
1,38,18,810,incongruent,1,11
1,38,19,811,congruent,1,10
1,39,8,822,incongruent,0,7
1,39,9,823,congruent,1,8
1,39,14,828,incongruent,1,11
1,39,17,831,congruent,1,13
1,40,2,838,congruent,1,7
1,40,6,842,incongruent,1,11
1,40,9,845,congruent,1,8
1,40,14,850,incongruent,0,6
1,41,4,862,incongruent,1,10
1,41,6,864,congruent,1,8
1,41,7,865,congruent,1,6
1,41,21,879,incongruent,1,11
1,42,7,887,incongruent,1,12
1,42,10,890,congruent,1,11
1,42,11,891,incongruent,1,10
1,42,21,901,congruent,1,8
1,43,1,903,blank,1,8
1,43,2,904,blank,1,10
1,43,3,905,blank,1,10
1,43,4,906,blank,1,10
1,43,5,907,blank,0,9
1,43,6,908,blank,1,10
1,43,7,909,blank,1,10
1,43,8,910,blank,1,10
1,43,9,911,blank,1,9
1,43,10,912,blank,1,10
1,43,11,913,blank,0,9
1,43,12,914,blank,1,8
1,43,13,915,blank,1,8
1,43,14,916,blank,1,10
1,43,15,917,blank,1,9
1,43,16,918,blank,1,8
1,43,17,919,blank,1,9
1,43,18,920,blank,1,10
1,43,19,921,blank,1,10
1,43,20,922,blank,1,11
1,43,21,923,blank,1,10
1,43,22,924,blank,1,10
1,44,4,928,congruent,1,10
1,44,8,932,incongruent,1,14
1,44,12,936,congruent,1,9
1,44,13,937,incongruent,1,12
1,45,1,947,congruent,1,8
1,45,13,959,incongruent,1,10
1,45,20,966,congruent,1,9
1,45,22,968,incongruent,1,10
1,46,5,973,congruent,1,9
1,46,8,976,incongruent,1,10
1,46,18,986,congruent,1,7
1,46,21,989,incongruent,1,10
1,47,1,991,congruent,1,6
1,47,2,992,incongruent,1,9
1,47,13,1003,congruent,1,9
1,47,21,1011,incongruent,0,7
1,48,2,1014,congruent,1,8
1,48,8,1020,congruent,1,6
1,48,15,1027,incongruent,1,10
1,48,16,1028,incongruent,1,10
1,49,2,1036,congruent,1,6
1,49,6,1040,congruent,1,7
1,49,7,1041,incongruent,0,6
1,49,11,1045,incongruent,1,12
1,50,1,1057,blank,1,10
1,50,2,1058,blank,1,10
1,50,3,1059,blank,0,9
1,50,4,1060,blank,1,9
1,50,5,1061,blank,1,8
1,50,6,1062,blank,1,10
1,50,7,1063,blank,1,10
1,50,8,1064,blank,1,10
1,50,9,1065,blank,1,10
1,50,10,1066,blank,1,12
1,50,11,1067,blank,1,10
1,50,12,1068,blank,1,10
1,50,13,1069,blank,1,9
1,50,14,1070,blank,1,9
1,50,15,1071,blank,1,10
1,50,16,1072,blank,1,11
1,50,17,1073,blank,1,11
1,50,18,1074,blank,1,10
1,50,19,1075,blank,1,8
1,50,20,1076,blank,1,8
1,50,21,1077,blank,1,9
1,50,22,1078,blank,1,8
1,51,6,1084,incongruent,1,10
1,51,9,1087,congruent,1,9
1,51,11,1089,incongruent,1,10
1,51,13,1091,congruent,1,11
1,52,1,1101,congruent,1,10
1,52,4,1104,incongruent,1,10
1,52,5,1105,congruent,1,9
1,52,10,1110,incongruent,1,11
1,53,5,1127,congruent,1,7
1,53,8,1130,incongruent,1,10
1,53,13,1135,congruent,1,6
1,53,14,1136,incongruent,0,7
1,54,12,1156,congruent,1,7
1,54,14,1158,incongruent,1,9
1,54,15,1159,incongruent,1,11
1,54,16,1160,congruent,1,12
1,55,11,1177,incongruent,1,11
1,55,16,1182,congruent,1,13
1,55,17,1183,incongruent,0,7
1,55,22,1188,congruent,1,9
1,56,2,1190,incongruent,1,11
1,56,4,1192,incongruent,1,10
1,56,12,1200,congruent,1,9
1,56,19,1207,congruent,1,7
1,57,1,1211,blank,1,11
1,57,2,1212,blank,1,8
1,57,3,1213,blank,1,10
1,57,4,1214,blank,1,9
1,57,5,1215,blank,1,10
1,57,6,1216,blank,1,9
1,57,7,1217,blank,1,10
1,57,8,1218,blank,1,10
1,57,9,1219,blank,1,10
1,57,10,1220,blank,1,10
1,57,11,1221,blank,1,8
1,57,12,1222,blank,1,10
1,57,13,1223,blank,1,10
1,57,14,1224,blank,1,9
1,57,15,1225,blank,1,10
1,57,16,1226,blank,0,8
1,57,17,1227,blank,1,11
1,57,18,1228,blank,1,9
1,57,19,1229,blank,1,7
1,57,20,1230,blank,1,11
1,57,21,1231,blank,1,9
1,57,22,1232,blank,1,9
1,58,4,1236,congruent,1,6
1,58,12,1244,incongruent,1,10
1,58,13,1245,congruent,1,9
1,58,17,1249,incongruent,1,12
1,59,6,1260,incongruent,0,7
1,59,7,1261,congruent,1,10
1,59,8,1262,congruent,1,8
1,59,22,1276,incongruent,1,10
1,60,4,1280,congruent,1,10
1,60,6,1282,congruent,1,8
1,60,8,1284,incongruent,1,11
1,60,19,1295,incongruent,1,12
1,61,1,1299,incongruent,1,10
1,61,5,1303,incongruent,1,14
1,61,7,1305,congruent,1,13
1,61,12,1310,congruent,1,8
1,62,3,1323,incongruent,0,6
1,62,8,1328,congruent,1,9
1,62,9,1329,incongruent,1,12
1,62,18,1338,congruent,1,11
1,63,4,1346,incongruent,1,12
1,63,17,1359,incongruent,1,12
1,63,20,1362,congruent,1,11
1,63,22,1364,congruent,1,7
1,64,1,1365,blank,1,10
1,64,2,1366,blank,1,9
1,64,3,1367,blank,1,10
1,64,4,1368,blank,1,10
1,64,5,1369,blank,1,9
1,64,6,1370,blank,1,8
1,64,7,1371,blank,1,8
