vp,bl,tr,prime_type,resp,respac,rt,TrialNr
1,33,10,1,1,1,421,692
1,33,16,1,2,1,391,698
1,34,2,2,1,0,217,706
1,34,4,2,1,1,371,708
1,34,9,1,2,1,369,713
1,34,21,1,1,1,276,725
1,35,2,2,2,0,216,728
1,35,7,1,2,1,408,733
1,35,12,2,2,1,489,738
1,35,15,1,1,1,376,741
1,36,1,0,1,1,310,749
1,36,2,0,1,0,298,750
1,36,3,0,2,1,415,751
1,36,4,0,1,1,266,752
1,36,5,0,2,1,351,753
1,36,6,0,1,1,356,754
1,36,7,0,2,1,298,755
1,36,8,0,1,1,279,756
1,36,9,0,1,1,372,757
1,36,10,0,2,1,377,758
1,36,11,0,2,1,401,759
1,36,12,0,1,1,348,760
1,36,13,0,2,1,354,761
1,36,14,0,1,1,271,762
1,36,15,0,1,1,364,763
1,36,16,0,1,1,370,764
1,36,17,0,1,0,353,765
1,36,18,0,2,1,301,766
1,36,19,0,1,1,319,767
1,36,20,0,2,1,316,768
1,36,21,0,1,1,329,769
1,37,2,2,1,1,333,772
1,37,4,1,1,1,254,774
1,37,10,2,2,1,515,780
1,37,20,1,2,1,336,790
1,38,7,2,1,1,468,799
1,38,11,1,1,1,298,803
1,38,18,2,2,1,415,810
1,38,19,1,2,1,367,811
1,39,8,2,1,0,241,822
1,39,9,1,1,1,309,823
1,39,14,2,1,1,424,828
1,39,17,1,2,1,484,831
1,40,2,1,1,1,253,838
1,40,6,2,2,1,407,842
1,40,9,1,2,1,314,845
1,40,14,2,2,0,234,850
1,41,4,2,1,1,400,862
1,41,6,1,2,1,314,864
1,41,7,1,1,1,239,865
1,41,21,2,2,1,417,879
1,42,7,2,1,1,461,887
1,42,10,1,2,1,429,890
1,42,11,2,2,1,398,891
1,42,21,1,1,1,303,901
1,43,1,0,1,1,283,903
1,43,2,0,1,1,383,904
1,43,3,0,1,1,378,905
1,43,4,0,1,1,394,906
1,43,5,0,1,0,357,907
1,43,6,0,2,1,371,908
1,43,7,0,2,1,366,909
1,43,8,0,2,1,397,910
1,43,9,0,1,1,356,911
1,43,10,0,1,1,367,912
1,43,11,0,1,0,349,913
1,43,12,0,1,1,320,914
1,43,13,0,2,1,293,915
1,43,14,0,2,1,390,916
1,43,15,0,1,1,336,917
1,43,16,0,2,1,317,918
1,43,17,0,2,1,338,919
1,43,18,0,2,1,375,920
1,43,19,0,1,1,389,921
1,43,20,0,1,1,427,922
1,43,21,0,1,1,384,923
1,43,22,0,2,1,365,924
1,44,4,1,2,1,363,928
1,44,8,2,2,1,544,932
1,44,12,1,1,1,349,936
1,44,13,2,1,1,451,937
1,45,1,1,1,1,301,947
1,45,13,2,2,1,399,959
1,45,20,1,2,1,348,966
1,45,22,2,1,1,379,968
1,46,5,1,2,1,347,973
1,46,8,2,1,1,395,976
1,46,18,1,1,1,250,986
1,46,21,2,2,1,395,989
1,47,1,1,2,1,230,991
1,47,2,2,1,1,331,992
