vp gen age hand bril ss bl tr  practice rd fixduration  goduration SSDduration  stopduration void go_dir  Stop_signal  SSD corresp  resp respac resperr rt outlier  
1            1           38            2            1            1            1            1            1           11      1.09296    0.0267086    0.0532609    0.0799717            1            4            1            1            4            1            0            1     0.245211            0 
1            1           38            2            1            1            1            2            1           11      1.09297    0.0266211     0.133419    0.0797709            1            1            2            3            1            1            1            0     0.346936            0 
1            1           38            2            1            1            1            3            1           11      1.09291    0.0265774    0.0533866    0.0799516            1            4            2            1            4            4            1            0     0.272076            0 
1            1           38            2            1            1            1            4            1           11      1.09291    0.0266536     0.173265    0.0799086            1            1            2            4            1            1            1            0     0.403181            0 
1              1             38              2              1              1              1              5              1             11      1.0929692    0.026659048     0.09329464    0.079966939              1              1              1              2              1              0              1              0           1000              1 
1            1           38            2            1            1            1            6            1           11       1.0929    0.0266569     0.133282    0.0799648            1            1            2            3            1            1            1            0     0.331055            0 
1            1           38            2            1            1            1            7            1           11      1.09288    0.0266765    0.0532897    0.0799906            1            4            1            1            4            4            1            0     0.391188            0 
1            1           38            2            1            1            1            8            1           11      1.09292     0.026576     0.133309    0.0799648            1            4            2            3            4            4            1            0     0.449733            0 
1            1           38            2            1            1            1            9            1           11      1.09298    0.0266536     0.173285    0.0799491            1            1            1            4            1            1            1            0     0.351988            0 
1            1           38            2            1            1            1           10            1           11      1.09299    0.0266095     0.173247    0.0799381            1            1            2            4            1            1            1            0     0.463912            0 
1              1             38              2              1              1              1             11              1             11      1.0929065    0.026627342     0.17326595    0.079990262              1              4              1              4              4              0              1              0           1000              1 
1              1             38              2              1              1              1             12              1             11      1.0928693    0.026629893    0.093298649    0.079981516              1              1              1              2              1              0              1              0           1000              1 
1            1           38            2            1            1            1           13            1           11      1.09291    0.0266514     0.133283    0.0799709            1            4            1            3            4            4            1            0     0.418937            0 
1              1             38              2              1              1              1             14              1             11      1.0929492    0.026596001    0.093305209    0.080002289              1              4              2              2              4              0              0              1           1000              1 
1            1           38            2            1            1            1           15            1           11      1.09291    0.0266113    0.0932994    0.0799684            1            1            2            2            1            1            1            0     0.341263            0 
1              1             38              2              1              1              1             16              1             11       1.092939    0.026733392    0.053216418    0.080016137              1              1              2              1              1              0              0              1           1000              1 
1            1           38            2            1            1            1           17            1           11      1.09286     0.026698    0.0932994    0.0799079            1            1            2            2            1            1            1            0     0.384426            0 
1              1             38              2              1              1              1             18              1             11      1.0928806    0.026705331     0.13323365     0.07996621              1              4              2              3              4              0              0              1           1000              1 
1            1           38            2            1            1            1           19            1           11      1.09291     0.026686    0.0932582    0.0799746            1            4            2            2            4            4            1            0     0.468314            0 
1              1             38              2              1              1              1             20              1             11      1.0929047    0.026634995    0.093310311    0.079964388              1              4              1              2              4              0              1              0           1000              1 
1            1           38            2            1            1            1           21            1           11      1.09291    0.0266441     0.173248    0.0799899            1            1            1            4            1            1            1            0     0.319553            0 
1              1             38              2              1              1              1             22              1             11      1.0929521    0.026624791    0.053346521    0.079848498              1              1              1              1              1              0              1              0           1000              1 
1              1             38              2              1              1              1             23              1             11      1.0928161    0.026713713     0.13321142    0.080019417              1              1              1              3              1              0              1              0           1000              1 
1              1             38              2              1              1              1             24              1             11      1.0928941    0.026594178    0.093337279    0.080025612              1              1              2              2              1              0              0              1           1000              1 
1            1           38            2            1            1            1           25            1           11      1.09287    0.0266897    0.0532904    0.0799906            1            1            2            1            1            1            1            0     0.335047            0 
1            1           38            2            1            1            1           26            1           11      1.09288    0.0266988     0.173217    0.0799709            1            4            2            4            4            4            1            0     0.341871            0 
1              1             38              2              1              1              1             27              1             11      1.0929018    0.026604018     0.13334334    0.079907536              1              1              1              3              1              0              1              0           1000              1 
1            1           38            2            1            1            1           28            1           11      1.09293     0.026635     0.173266    0.0799669            1            4            2            4            4            4            1            0     0.325997            0 
1              1             38              2              1              1              1             29              1             11      1.0929036    0.026639004     0.13329378    0.079971312              1              4              1              3              4              0              1              0           1000              1 
1            1           38            2            1            1            1           30            1           11       1.0929     0.026705    0.0532605     0.079968            1            1            2            1            1            1            1            0     0.334804            0 
1            1           38            2            1            1            1           31            1           11      1.09289    0.0266627     0.173258    0.0799688            1            4            2            4            4            4            1            0     0.311941            0 
1              1             38              2              1              1              1             32              1             11      1.0929054    0.026652123    0.053315909    0.079967667              1              1              1              1              1              0              1              0           1000              1 
1              1             38              2              1              1              1             33              1             11      1.0928774    0.026633902    0.093297191    0.079963659              1              4              1              2              4              0              1              0           1000              1 
1            1           38            2            1            1            1           34            1           11      1.09296      0.02667    0.0532966    0.0799735            1            4            2            1            4            4            1            0     0.345109            0 
1            1           38            2            1            1            1           35            1           11      1.09285    0.0267123     0.133261    0.0799848            1            1            2            3            1            1            1            0     0.357184            0 
1            1           38            2            1            1            1           36            1           11      1.09291    0.0267068     0.173216    0.0799323            1            1            2            4            1            1            1            0     0.461904            0 
1            1           38            2            1            1            1           37            1           11       1.0929    0.0265982     0.133343    0.0799648            1            4            2            3            4            4            1            0     0.303677            0 
1              1             38              2              1              1              1             38              1             11      1.0929703    0.026648115     0.17326996    0.079964388              1              4              1              4              4              0              1              0           1000              1 
1            1           38            2            1            1            1           39            1           11      1.09298    0.0266109    0.0933901    0.0798463            1            4            2            2            4            4            1            0     0.295366            0 
1            1           38            2            1            1            1           40            1           11      1.09292    0.0266062    0.0532343    0.0799724            1            4            2            1            4            4            1            0     0.431332            0 
1            1           38            2            1            1            2            1            0           11       1.0929    0.0266598    0.0932695     0.079968            1            1            2            2            1            1            1            0      0.37661            0 
1            1           38            2            1            1            2            2            0           11      1.09296    0.0266587    0.0932932    0.0799673            1            4            2            2            4            4            1            0      0.33769            0 
1            1           38            2            1            1            2            3            0           11      1.09288    0.0266565    0.0932986    0.0799695            1            1            2            2            1            1            1            0     0.375496            0 
1              1             38              2              1              1              2              4              0             11       1.092889     0.02659928    0.053381142    0.079942157              1              4              1              1              4              0              1              0           1000              1 
1              1             38              2              1              1              2              5              0             11      1.0928657    0.026653946    0.053314815    0.079953819              1              1              1              1              1              0              1              0           1000              1 
1            1           38            2            1            1            2            6            0           11      1.09296    0.0266671     0.173277    0.0799994            1            4            1            4            4            4            1            0     0.356846            0 
1            1           38            2            1            1            2            7            0           11      1.09294    0.0266459     0.133273    0.0799976            1            4            2            3            4            4            1            0     0.341165            0 
1            1           38            2            1            1            2            8            0           11      1.09291    0.0266594    0.0533017     0.079995            1            1            2            1            1            1            1            0     0.449904            0 
1            1           38            2            1            1            2            9            0           11      1.09292    0.0265632     0.173298    0.0800212            1            4            2            4            4            4            1            0     0.441152            0 
1              1             38              2              1              1              2             10              0             11      1.0929021    0.026656497    0.093284072    0.079970583              1              1              1              2              1              0              1              0           1000              1 
1            1           38            2            1            1            2           11            0           11      1.09289    0.0266645     0.133332    0.0799214            1            1            1            3            1            1            1            0     0.332507            0 
1            1           38            2            1            1            2           12            0           11      1.09295     0.026655    0.0533032     0.079975            1            4            2            1            4            4            1            0     0.372453            0 
1              1             38              2              1              1              2             13              0             11      1.0927567    0.026725374     0.17334576    0.079885305              1              4              1              4              4              0              1              0           1000              1 
1            1           38            2            1            1            2           14            0           11      1.09295    0.0265822     0.133278    0.0799688            1            4            2            3            4            4            1            0     0.387727            0 
1              1             38              2              1              1              2             15              0             11      1.0929998    0.026655039    0.053310078    0.079947988              1              1              1              1              1              0              1              0           1000              1 
1            1           38            2            1            1            2           16            0           11      1.09291    0.0267294     0.173188     0.079968            1            1            2            4            1            1            1            0     0.422642            0 
1              1             38              2              1              1              2             17              0             11      1.0929018     0.02660256    0.053346885    0.079969854              1              4              1              1              4              0              1              0           1000              1 
1            1           38            2            1            1            2           18            0           11      1.09299    0.0266689     0.173249    0.0799658            1            1            2            4            1            1            1            0     0.338159            0 
1              1             38              2              1              1              2             19              0             11      1.0929477    0.026656861     0.13325406    0.079995364              1              4              1              3              4              0              1              0           1000              1 
1            1           38            2            1            1            2           20            0           11      1.09293     0.026655    0.0932965    0.0799688            1            1            2            2            1            1            1            0     0.378121            0 
1            1           38            2            1            1            2           21            0           11      1.09286    0.0267352    0.0931966    0.0799684            1            4            2            2            4            4            1            0     0.311374            0 
1            1           38            2            1            1            2           22            0           11      1.09284    0.0266488    0.0533531    0.0799833            1            1            2            1            1            1            1            0     0.370202            0 
1              1             38              2              1              1              2             23              0             11       1.092928    0.026694398    0.093256375     0.07997277              1              1              1              2              1              0              1              0           1000              1 
1            1           38            2            1            1            2           24            0           11      1.09293    0.0266226    0.0533319    0.0799724            1            1            2            1            1            1            1            0     0.368044            0 
1            1           38            2            1            1            2           25            0           11      1.09282    0.0267123      0.13321    0.0800759            1            1            2            3            1            1            1            0     0.390506            0 
1            1           38            2            1            1            2           26            0           11       1.0929    0.0265588     0.053352    0.0799822            1            4            2            1            4            4            1            0     0.354617            0 
1            1           38            2            1            1            2           27            0           11      1.09293    0.0266139     0.173323    0.0799976            1            1            2            4            1            1            1            0      0.34795            0 
