bin_endpoint,condition,mean,.lower,.upper,.width,hazard ratio
240,c500,2.177112972013386,0.33207860698069525,4.049495830416427,0.95,8.820803556195361
280,c500,1.1092200342283425,-0.016176054455581658,2.111724231693208,0.95,3.0319926214799726
320,c500,0.37420023044462947,-0.3424157975290085,1.036427270033287,0.95,1.4538282219864924
360,c500,-0.08996235437550874,-0.703781750624362,0.47574624944981164,0.95,0.9139655914290563
400,c500,-0.3452836352698282,-1.0191636118868586,0.33620840995175094,0.95,0.7080195056818508
440,c500,-0.4537795272760849,-1.5002532882394248,0.5639244502173446,0.95,0.635222767102294
480,c500,-0.4774659454320348,-2.322009002944127,1.2675719282534734,0.95,0.6203534111038671
520,c500,-0.478358804775434,-3.570885312046717,2.517194093651297,0.95,0.6197997699631663
560,c500,-0.5184740203440384,-5.685110428467969,4.269692545726031,0.95,0.5954284667880879
600,c500,-0.6598275071756041,-8.56369232449254,6.993095268095156,0.95,0.5169404953277597
240,c1000,3.0268348388296182,1.3745215641646504,4.824517013994825,0.95,20.631826078142915
280,c1000,1.6343464116451618,0.6812509238817233,2.6265374298841615,0.95,5.126106538370153
320,c1000,0.6436546701618423,-0.020040062508507744,1.2391272989648534,0.95,1.903424572111825
360,c1000,-0.00725630065809625,-0.5713159997082721,0.5183610079131205,0.95,0.9927699627281208
400,c1000,-0.38040241585240975,-1.0082469798484905,0.22104550047378543,0.95,0.6835862679047624
440,c1000,-0.5377995904588543,-1.5181769932984863,0.3237349509465691,0.95,0.5840319489998007
480,c1000,-0.5414637395151858,-2.2018625170905546,1.111142599820466,0.95,0.58189588470389
520,c1000,-0.45341077805916025,-3.402255187638498,2.353802166523568,0.95,0.6354570481930654
560,c1000,-0.3356566211285337,-5.782859478221338,3.9034508319426933,0.95,0.7148685344267444
600,c1000,-0.2502171837610622,-8.34350600951059,6.727848390973131,0.95,0.7786316585544334
240,c1500,3.045582237001386,1.0659351883696078,5.018247749964271,0.95,21.022267582336866
280,c1500,1.5381228706750925,0.39812850183650644,2.6524672094929955,0.95,4.655842444771
320,c1500,0.41542558854677947,-0.3568205462424898,1.1256147450986365,0.95,1.5150153766999856
360,c1500,-0.3845255244213088,-1.0457930104817743,0.20627279182261557,0.95,0.6807735700200177
400,c1500,-0.9237463832669282,-1.696048049846043,-0.23748527468302028,0.95,0.3970288292128277
440,c1500,-1.2642529030278349,-2.4051805784601363,-0.17917508077335484,0.95,0.2824502350501949
480,c1500,-1.4680609987417848,-3.358585277846761,0.4308145323817543,0.95,0.23037174349969441
520,c1500,-1.597186585446534,-4.864434155863512,1.5760053483274508,0.95,0.20246533638244357
560,c1500,-1.7136455781798385,-7.011181988950217,3.3725522458538073,0.95,0.1802076326458182
